Code,Exchange,SrcTime,GMT,Open,High,Low,Close,Volume,Value,Transactions
NEC,ASX,1/07/2020T10:00:00,1/07/2020T0:00:00,138.5,139,137,138.25,262997,362612.8575,177
NEC,ASX,1/07/2020T10:10:00,1/07/2020T0:10:00,138.5,139,137.5,137.75,255503,353482.35,129
NEC,ASX,1/07/2020T10:20:00,1/07/2020T0:20:00,137.75,138.5,137.75,138,60596,83654.9675,47
NEC,ASX,1/07/2020T10:30:00,1/07/2020T0:30:00,138.5,139.5,138.5,139.5,138923,193207.1325,90
NEC,ASX,1/07/2020T10:40:00,1/07/2020T0:40:00,139.5,140,139.5,139.5,93188,130133.1275,72
NEC,ASX,1/07/2020T10:50:00,1/07/2020T0:50:00,139.5,140,139.5,140,101715,142017.705,65
NEC,ASX,1/07/2020T11:00:00,1/07/2020T1:00:00,140,141,140,141,80514,113189.8675,68
NEC,ASX,1/07/2020T11:10:00,1/07/2020T1:10:00,141,141.5,140.5,140.75,70606,99538.7325,109
NEC,ASX,1/07/2020T11:20:00,1/07/2020T1:20:00,141,141.25,140.5,140.5,19365,27261.1775,35
NEC,ASX,1/07/2020T11:30:00,1/07/2020T1:30:00,140.5,140.5,139.75,140,157123,219995.1575,109
NEC,ASX,1/07/2020T11:40:00,1/07/2020T1:40:00,140,140.5,139.5,139.75,83820,117337.96,95
NEC,ASX,1/07/2020T11:50:00,1/07/2020T1:50:00,139.5,140,139,140,38493,53697.825,46
NEC,ASX,1/07/2020T12:00:00,1/07/2020T2:00:00,139.5,139.5,138.5,139,229516,319025.4325,145
NEC,ASX,1/07/2020T12:10:00,1/07/2020T2:10:00,139,139.5,138.75,139,54606,75937.495,67
NEC,ASX,1/07/2020T12:20:00,1/07/2020T2:20:00,139,139,138.5,139,90997,126475.73,86
NEC,ASX,1/07/2020T12:30:00,1/07/2020T2:30:00,139,139,138.5,138.5,21081,29302.58,24
NEC,ASX,1/07/2020T12:40:00,1/07/2020T2:40:00,138.5,138.5,138,138.5,141354,195637.595,133
NEC,ASX,1/07/2020T12:50:00,1/07/2020T2:50:00,138.5,138.5,137,137,128798,177650.6675,122
NEC,ASX,1/07/2020T13:00:00,1/07/2020T3:00:00,138,138.5,137.5,138,108465,149673.9275,69
NEC,ASX,1/07/2020T13:10:00,1/07/2020T3:10:00,137.5,137.5,137,137.5,63262,86982.605,36
NEC,ASX,1/07/2020T13:20:00,1/07/2020T3:20:00,137.5,138,137.5,138,2020,2779.09,4
NEC,ASX,1/07/2020T13:30:00,1/07/2020T3:30:00,138,138.5,137.5,138,47649,65755.135,55
NEC,ASX,1/07/2020T13:40:00,1/07/2020T3:40:00,138.5,139,138.25,138.5,131645,182496.485,85
NEC,ASX,1/07/2020T13:50:00,1/07/2020T3:50:00,138,139,138,139,41993,58098.2575,35
